objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"1%","378040","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372277","5.59042","6.74855","1.6","9683","390","thing","1%: A Game of Strategic Chance","2","6","30","30","10","2024","3,4,5,6","6","","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"20 Bucks for That?!","431281","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137372366","0","5.758","1","0","48","thing","20 Bucks for That?!","3","7","25","25","25","2025","","","","","","","","","","standalone","","Blue Orange (EU)","English","2025","English edition"
"3000 Bandita","367525","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372421","5.74024","6.33246","2.25","5463","2148","thing","3000 Scoundrels","2","4","90","90","60","2022","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.; Unexpected Games","Hungarian","2022","Hungarian edition"
"365 Adventures: The Dungeon – 2025","424055","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137372462","5.53533","6.73765","1","15125","313","thing","365 Adventures: The Dungeon – 2025","1","1","5","5","2","2024","1","1","6+","","","","","","","standalone","","","","",""
"5 Royaumes","419259","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","137372498","5.51337","6.8","2","20897","82","thing","5 Royaumes","2","2","20","20","10","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"5 torony","400205","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137372516","6.14574","6.72963","1.25","2398","5412","thing","5 Towers","2","5","30","30","15","2024","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"7 Csoda (2021-es kiadás)","316377","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372539","7.34666","7.82849","2.2893","208","18088","thing","7 Wonders (Second Edition)","3","7","30","30","30","2021","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
"7 Csoda Párbaj","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372557","7.95755","8.08182","2.2272","21","177711","thing","7 Wonders Duel","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2016","Hungarian edition"
"7 Csoda Párbaj: Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372565","7.2557","8.06975","2.8898","0","22703","thing","7 Wonders Duel: Agora","2","2","30","30","30","2021","2","2","12+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
"7 Csoda Párbaj: Panteon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372567","7.62876","7.99938","2.3196","0","49759","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2020","2","2","10+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Repos Production","Hungarian","2020","Hungarian edition"
