objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"1%: A Game of Strategic Chance","378040","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129971155","5.58724","6.7552","1.6","9880","386","thing","1%: A Game of Strategic Chance","2","6","30","30","10","2022","3,4,5,6","6","","","","","","","","standalone","","","","",""
"20 Second Showdown","276431","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102674531","5.57802","6.48411","1","10466","788","thing","20 Second Showdown","5","20","0","0","0","2019","5,7,8,9,10,11,12,13","6,7","8+","","","","","","","standalone","","","","",""
"5 Towers","400205","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129970658","6.14237","6.73149","1.25","2414","5392","thing","5 Towers","2","5","30","30","15","2023","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24836041","7.55401","7.66629","2.315","111","152238","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36780389","7.95758","8.08185","2.2274","21","177485","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders: Architects","346703","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","91708775","6.75874","7.0331","1.3678","799","18556","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Abandon All Artichokes","302260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590952","6.26833","6.58277","1.2568","1929","10202","thing","Abandon All Artichokes","2","4","20","20","20","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Abszolút elfelejtett szavak","350267","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90592715","0","6.54","0","0","41","thing","Abszolút elfelejtett szavak","3","8","20","0","20","2021","","","","Unplayable in another language","","","","","","standalone","","","","",""
"Abszolút megvadult betűk","328484","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90594269","5.52087","7.41429","2.5","18615","60","thing","Abszolút megvadult betűk","1","6","60","60","45","2020","1,2,3,4,5","3,4","8","Unplayable in another language","","","","","","standalone","","","","",""
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90594146","7.64876","7.95651","3.4457","84","28224","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Àiyé","322626","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129970914","5.61968","7.07903","2.375","8286","327","thing","Àiyé","2","4","60","60","30","2023","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Akropolis","357563","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102674020","7.03655","7.45167","1.8053","451","13663","thing","Akropolis","1","4","30","30","20","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Andromeda's Edge","358661","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131116898","7.34279","8.29496","3.7127","211","9140","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Arcana Rising","309408","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95147681","5.88742","6.82098","2.125","3875","2098","thing","Arcana Rising","1","6","60","60","20","2022","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Architects of the West Kingdom","236457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","67904121","7.51787","7.71247","2.7577","124","43591","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Ark Nova","342942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97507519","8.35139","8.53938","3.7901","3","82413","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Art Society","395375","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116544804","6.58804","7.4917","1.8625","1104","5991","thing","Art Society","2","4","60","60","30","2023","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
