objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Wishes","198836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95907405","5.4551","5.39719","1.1538","28962","2375","thing","3 Wishes","3","5","5","5","3","2016","3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"3000 Scoundrels","367525","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","104204021","5.74316","6.33447","2.25","5406","2145","thing","3000 Scoundrels","2","4","90","90","60","2022","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"4Mation","329175","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","85439452","5.5367","6.55435","1","14892","209","thing","4Mation","2","2","10","10","10","2021","2","2","8+","","","","","","","standalone","","","","",""
"7 csoda","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","70536169","7.55396","7.66622","2.3149","111","152287","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Csoda Párbaj","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","70536171","7.9576","8.08188","2.2273","21","177590","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Csoda Párbaj: Panteon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","85439486","7.62981","7.99966","2.3207","0","49730","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 csoda: Armada","247315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","85439468","6.81368","7.9684","2.7541","0","10506","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Csoda:Vezetők","92539","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","85439475","7.46899","7.81585","2.2751","0","36976","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95907416","7.25737","8.06996","2.8898","0","22686","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","",""
"80 nap alatt a Föld körül","204599","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","85439503","5.68905","6.39528","1.625","6385","1325","thing","Around the World in 80 Days","2","6","60","60","45","2016","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
